start date,end date,debt volume
2004-09-05 00:00:00,2004-09-11 00:00:00,31
2004-09-12 00:00:00,2004-09-18 00:00:00,22
2004-09-19 00:00:00,2004-09-25 00:00:00,31
2004-09-26 00:00:00,2004-10-02 00:00:00,29
2004-10-03 00:00:00,2004-10-09 00:00:00,22
2004-10-10 00:00:00,2004-10-16 00:00:00,23
2004-10-17 00:00:00,2004-10-23 00:00:00,23
2004-10-24 00:00:00,2004-10-30 00:00:00,33
2004-10-31 00:00:00,2004-11-06 00:00:00,26
2004-11-07 00:00:00,2004-11-13 00:00:00,27
2004-11-14 00:00:00,2004-11-20 00:00:00,28
2004-11-21 00:00:00,2004-11-27 00:00:00,28
2004-11-28 00:00:00,2004-12-04 00:00:00,25
2004-12-05 00:00:00,2004-12-11 00:00:00,25
2004-12-12 00:00:00,2004-12-18 00:00:00,21
2004-12-19 00:00:00,2004-12-25 00:00:00,20
2004-12-26 00:00:00,2005-01-01 00:00:00,37
2005-01-02 00:00:00,2005-01-08 00:00:00,25
2005-01-09 00:00:00,2005-01-15 00:00:00,26
2005-01-16 00:00:00,2005-01-22 00:00:00,22
2005-01-23 00:00:00,2005-01-29 00:00:00,22
2005-01-30 00:00:00,2005-02-05 00:00:00,35
2005-02-06 00:00:00,2005-02-12 00:00:00,30
2005-02-13 00:00:00,2005-02-19 00:00:00,22
2005-02-20 00:00:00,2005-02-26 00:00:00,29
2005-02-27 00:00:00,2005-03-05 00:00:00,31
2005-03-06 00:00:00,2005-03-12 00:00:00,31
2005-03-13 00:00:00,2005-03-19 00:00:00,35
2005-03-20 00:00:00,2005-03-26 00:00:00,32
2005-03-27 00:00:00,2005-04-02 00:00:00,25
2005-04-03 00:00:00,2005-04-09 00:00:00,37
2005-04-10 00:00:00,2005-04-16 00:00:00,38
2005-04-17 00:00:00,2005-04-23 00:00:00,30
2005-04-24 00:00:00,2005-04-30 00:00:00,24
2005-05-01 00:00:00,2005-05-07 00:00:00,18
2005-05-08 00:00:00,2005-05-14 00:00:00,28
2005-05-15 00:00:00,2005-05-21 00:00:00,49
2005-05-22 00:00:00,2005-05-28 00:00:00,18
2005-05-29 00:00:00,2005-06-04 00:00:00,31
2005-06-05 00:00:00,2005-06-11 00:00:00,15
2005-06-12 00:00:00,2005-06-18 00:00:00,22
2005-06-19 00:00:00,2005-06-25 00:00:00,24
2005-06-26 00:00:00,2005-07-02 00:00:00,34
2005-07-03 00:00:00,2005-07-09 00:00:00,21
2005-07-10 00:00:00,2005-07-16 00:00:00,27
2005-07-17 00:00:00,2005-07-23 00:00:00,22
2005-07-24 00:00:00,2005-07-30 00:00:00,32
2005-07-31 00:00:00,2005-08-06 00:00:00,27
2005-08-07 00:00:00,2005-08-13 00:00:00,28
2005-08-14 00:00:00,2005-08-20 00:00:00,26
2005-08-21 00:00:00,2005-08-27 00:00:00,24
2005-08-28 00:00:00,2005-09-03 00:00:00,29
2005-09-04 00:00:00,2005-09-10 00:00:00,29
2005-09-11 00:00:00,2005-09-17 00:00:00,30
2005-09-18 00:00:00,2005-09-24 00:00:00,34
2005-09-25 00:00:00,2005-10-01 00:00:00,24
2005-10-02 00:00:00,2005-10-08 00:00:00,26
2005-10-09 00:00:00,2005-10-15 00:00:00,17
2005-10-16 00:00:00,2005-10-22 00:00:00,17
2005-10-23 00:00:00,2005-10-29 00:00:00,27
2005-10-30 00:00:00,2005-11-05 00:00:00,22
2005-11-06 00:00:00,2005-11-12 00:00:00,18
2005-11-13 00:00:00,2005-11-19 00:00:00,38
2005-11-20 00:00:00,2005-11-26 00:00:00,24
2005-11-27 00:00:00,2005-12-03 00:00:00,23
2005-12-04 00:00:00,2005-12-10 00:00:00,24
2005-12-11 00:00:00,2005-12-17 00:00:00,24
2005-12-18 00:00:00,2005-12-24 00:00:00,24
2005-12-25 00:00:00,2005-12-31 00:00:00,23
2006-01-01 00:00:00,2006-01-07 00:00:00,16
2006-01-08 00:00:00,2006-01-14 00:00:00,30
2006-01-15 00:00:00,2006-01-21 00:00:00,20
2006-01-22 00:00:00,2006-01-28 00:00:00,24
2006-01-29 00:00:00,2006-02-04 00:00:00,28
2006-02-05 00:00:00,2006-02-11 00:00:00,20
2006-02-12 00:00:00,2006-02-18 00:00:00,20
2006-02-19 00:00:00,2006-02-25 00:00:00,20
2006-02-26 00:00:00,2006-03-04 00:00:00,21
2006-03-05 00:00:00,2006-03-11 00:00:00,27
2006-03-12 00:00:00,2006-03-18 00:00:00,26
2006-03-19 00:00:00,2006-03-25 00:00:00,38
2006-03-26 00:00:00,2006-04-01 00:00:00,29
2006-04-02 00:00:00,2006-04-08 00:00:00,23
2006-04-09 00:00:00,2006-04-15 00:00:00,26
2006-04-16 00:00:00,2006-04-22 00:00:00,32
2006-04-23 00:00:00,2006-04-29 00:00:00,27
2006-04-30 00:00:00,2006-05-06 00:00:00,22
2006-05-07 00:00:00,2006-05-13 00:00:00,25
2006-05-14 00:00:00,2006-05-20 00:00:00,21
2006-05-21 00:00:00,2006-05-27 00:00:00,24
2006-05-28 00:00:00,2006-06-03 00:00:00,25
2006-06-04 00:00:00,2006-06-10 00:00:00,27
2006-06-11 00:00:00,2006-06-17 00:00:00,27
2006-06-18 00:00:00,2006-06-24 00:00:00,22
2006-06-25 00:00:00,2006-07-01 00:00:00,23
2006-07-02 00:00:00,2006-07-08 00:00:00,24
2006-07-09 00:00:00,2006-07-15 00:00:00,24
2006-07-16 00:00:00,2006-07-22 00:00:00,30
2006-07-23 00:00:00,2006-07-29 00:00:00,23
2006-07-30 00:00:00,2006-08-05 00:00:00,17
2006-08-06 00:00:00,2006-08-12 00:00:00,30
2006-08-13 00:00:00,2006-08-19 00:00:00,28
2006-08-20 00:00:00,2006-08-26 00:00:00,30
2006-08-27 00:00:00,2006-09-02 00:00:00,20
2006-09-03 00:00:00,2006-09-09 00:00:00,9
2006-09-10 00:00:00,2006-09-16 00:00:00,27
2006-09-17 00:00:00,2006-09-23 00:00:00,20
2006-09-24 00:00:00,2006-09-30 00:00:00,22
2006-10-01 00:00:00,2006-10-07 00:00:00,24
2006-10-08 00:00:00,2006-10-14 00:00:00,23
2006-10-15 00:00:00,2006-10-21 00:00:00,21
2006-10-22 00:00:00,2006-10-28 00:00:00,19
2006-10-29 00:00:00,2006-11-04 00:00:00,22
2006-11-05 00:00:00,2006-11-11 00:00:00,28
2006-11-12 00:00:00,2006-11-18 00:00:00,19
2006-11-19 00:00:00,2006-11-25 00:00:00,21
2006-11-26 00:00:00,2006-12-02 00:00:00,24
2006-12-03 00:00:00,2006-12-09 00:00:00,25
2006-12-10 00:00:00,2006-12-16 00:00:00,28
2006-12-17 00:00:00,2006-12-23 00:00:00,21
2006-12-24 00:00:00,2006-12-30 00:00:00,26
2006-12-31 00:00:00,2007-01-06 00:00:00,20
2007-01-07 00:00:00,2007-01-13 00:00:00,26
2007-01-14 00:00:00,2007-01-20 00:00:00,22
2007-01-21 00:00:00,2007-01-27 00:00:00,27
2007-01-28 00:00:00,2007-02-03 00:00:00,14
2007-02-04 00:00:00,2007-02-10 00:00:00,20
2007-02-11 00:00:00,2007-02-17 00:00:00,22
2007-02-18 00:00:00,2007-02-24 00:00:00,23
2007-02-25 00:00:00,2007-03-03 00:00:00,19
2007-03-04 00:00:00,2007-03-10 00:00:00,36
2007-03-11 00:00:00,2007-03-17 00:00:00,18
2007-03-18 00:00:00,2007-03-24 00:00:00,20
2007-03-25 00:00:00,2007-03-31 00:00:00,24
2007-04-01 00:00:00,2007-04-07 00:00:00,23
2007-04-08 00:00:00,2007-04-14 00:00:00,25
2007-04-15 00:00:00,2007-04-21 00:00:00,24
2007-04-22 00:00:00,2007-04-28 00:00:00,21
2007-04-29 00:00:00,2007-05-05 00:00:00,22
2007-05-06 00:00:00,2007-05-12 00:00:00,24
2007-05-13 00:00:00,2007-05-19 00:00:00,26
2007-05-20 00:00:00,2007-05-26 00:00:00,22
2007-05-27 00:00:00,2007-06-02 00:00:00,24
2007-06-03 00:00:00,2007-06-09 00:00:00,20
2007-06-10 00:00:00,2007-06-16 00:00:00,18
2007-06-17 00:00:00,2007-06-23 00:00:00,24
2007-06-24 00:00:00,2007-06-30 00:00:00,16
2007-07-01 00:00:00,2007-07-07 00:00:00,22
2007-07-08 00:00:00,2007-07-14 00:00:00,17
2007-07-15 00:00:00,2007-07-21 00:00:00,22
2007-07-22 00:00:00,2007-07-28 00:00:00,21
2007-07-29 00:00:00,2007-08-04 00:00:00,25
2007-08-05 00:00:00,2007-08-11 00:00:00,20
2007-08-12 00:00:00,2007-08-18 00:00:00,26
2007-08-19 00:00:00,2007-08-25 00:00:00,30
2007-08-26 00:00:00,2007-09-01 00:00:00,29
2007-09-02 00:00:00,2007-09-08 00:00:00,21
2007-09-09 00:00:00,2007-09-15 00:00:00,23
2007-09-16 00:00:00,2007-09-22 00:00:00,29
2007-09-23 00:00:00,2007-09-29 00:00:00,26
2007-09-30 00:00:00,2007-10-06 00:00:00,24
2007-10-07 00:00:00,2007-10-13 00:00:00,27
2007-10-14 00:00:00,2007-10-20 00:00:00,24
2007-10-21 00:00:00,2007-10-27 00:00:00,29
2007-10-28 00:00:00,2007-11-03 00:00:00,22
2007-11-04 00:00:00,2007-11-10 00:00:00,23
2007-11-11 00:00:00,2007-11-17 00:00:00,21
2007-11-18 00:00:00,2007-11-24 00:00:00,22
2007-11-25 00:00:00,2007-12-01 00:00:00,18
2007-12-02 00:00:00,2007-12-08 00:00:00,24
2007-12-09 00:00:00,2007-12-15 00:00:00,23
2007-12-16 00:00:00,2007-12-22 00:00:00,19
2007-12-23 00:00:00,2007-12-29 00:00:00,22
2007-12-30 00:00:00,2008-01-05 00:00:00,19
2008-01-06 00:00:00,2008-01-12 00:00:00,23
2008-01-13 00:00:00,2008-01-19 00:00:00,30
2008-01-20 00:00:00,2008-01-26 00:00:00,23
2008-01-27 00:00:00,2008-02-02 00:00:00,24
2008-02-03 00:00:00,2008-02-09 00:00:00,27
2008-02-10 00:00:00,2008-02-16 00:00:00,18
2008-02-17 00:00:00,2008-02-23 00:00:00,30
2008-02-24 00:00:00,2008-03-01 00:00:00,21
2008-03-02 00:00:00,2008-03-08 00:00:00,23
2008-03-09 00:00:00,2008-03-15 00:00:00,23
2008-03-16 00:00:00,2008-03-22 00:00:00,32
2008-03-23 00:00:00,2008-03-29 00:00:00,20
2008-03-30 00:00:00,2008-04-05 00:00:00,21
2008-04-06 00:00:00,2008-04-12 00:00:00,26
2008-04-13 00:00:00,2008-04-19 00:00:00,14
2008-04-20 00:00:00,2008-04-26 00:00:00,24
2008-04-27 00:00:00,2008-05-03 00:00:00,19
2008-05-04 00:00:00,2008-05-10 00:00:00,18
2008-05-11 00:00:00,2008-05-17 00:00:00,22
2008-05-18 00:00:00,2008-05-24 00:00:00,21
2008-05-25 00:00:00,2008-05-31 00:00:00,23
2008-06-01 00:00:00,2008-06-07 00:00:00,24
2008-06-08 00:00:00,2008-06-14 00:00:00,20
2008-06-15 00:00:00,2008-06-21 00:00:00,26
2008-06-22 00:00:00,2008-06-28 00:00:00,24
2008-06-29 00:00:00,2008-07-05 00:00:00,21
2008-07-06 00:00:00,2008-07-12 00:00:00,23
2008-07-13 00:00:00,2008-07-19 00:00:00,24
2008-07-20 00:00:00,2008-07-26 00:00:00,21
2008-07-27 00:00:00,2008-08-02 00:00:00,25
2008-08-03 00:00:00,2008-08-09 00:00:00,24
2008-08-10 00:00:00,2008-08-16 00:00:00,25
2008-08-17 00:00:00,2008-08-23 00:00:00,21
2008-08-24 00:00:00,2008-08-30 00:00:00,21
2008-08-31 00:00:00,2008-09-06 00:00:00,28
2008-09-07 00:00:00,2008-09-13 00:00:00,32
2008-09-14 00:00:00,2008-09-20 00:00:00,27
2008-09-21 00:00:00,2008-09-27 00:00:00,28
2008-09-28 00:00:00,2008-10-04 00:00:00,23
2008-10-05 00:00:00,2008-10-11 00:00:00,27
2008-10-12 00:00:00,2008-10-18 00:00:00,34
2008-10-19 00:00:00,2008-10-25 00:00:00,24
2008-10-26 00:00:00,2008-11-01 00:00:00,21
2008-11-02 00:00:00,2008-11-08 00:00:00,30
2008-11-09 00:00:00,2008-11-15 00:00:00,25
2008-11-16 00:00:00,2008-11-22 00:00:00,26
2008-11-23 00:00:00,2008-11-29 00:00:00,22
2008-11-30 00:00:00,2008-12-06 00:00:00,22
2008-12-07 00:00:00,2008-12-13 00:00:00,28
2008-12-14 00:00:00,2008-12-20 00:00:00,26
2008-12-21 00:00:00,2008-12-27 00:00:00,19
2008-12-28 00:00:00,2009-01-03 00:00:00,23
2009-01-04 00:00:00,2009-01-10 00:00:00,27
2009-01-11 00:00:00,2009-01-17 00:00:00,24
2009-01-18 00:00:00,2009-01-24 00:00:00,29
2009-01-25 00:00:00,2009-01-31 00:00:00,25
2009-02-01 00:00:00,2009-02-07 00:00:00,29
2009-02-08 00:00:00,2009-02-14 00:00:00,24
2009-02-15 00:00:00,2009-02-21 00:00:00,23
2009-02-22 00:00:00,2009-02-28 00:00:00,31
2009-03-01 00:00:00,2009-03-07 00:00:00,25
2009-03-08 00:00:00,2009-03-14 00:00:00,21
2009-03-15 00:00:00,2009-03-21 00:00:00,28
2009-03-22 00:00:00,2009-03-28 00:00:00,24
2009-03-29 00:00:00,2009-04-04 00:00:00,24
2009-04-05 00:00:00,2009-04-11 00:00:00,19
2009-04-12 00:00:00,2009-04-18 00:00:00,25
2009-04-19 00:00:00,2009-04-25 00:00:00,23
2009-04-26 00:00:00,2009-05-02 00:00:00,21
2009-05-03 00:00:00,2009-05-09 00:00:00,22
2009-05-10 00:00:00,2009-05-16 00:00:00,24
2009-05-17 00:00:00,2009-05-23 00:00:00,20
2009-05-24 00:00:00,2009-05-30 00:00:00,21
2009-05-31 00:00:00,2009-06-06 00:00:00,20
2009-06-07 00:00:00,2009-06-13 00:00:00,26
2009-06-14 00:00:00,2009-06-20 00:00:00,22
2009-06-21 00:00:00,2009-06-27 00:00:00,20
2009-06-28 00:00:00,2009-07-04 00:00:00,27
2009-07-05 00:00:00,2009-07-11 00:00:00,32
2009-07-12 00:00:00,2009-07-18 00:00:00,20
2009-07-19 00:00:00,2009-07-25 00:00:00,23
2009-07-26 00:00:00,2009-08-01 00:00:00,26
2009-08-02 00:00:00,2009-08-08 00:00:00,20
2009-08-09 00:00:00,2009-08-15 00:00:00,21
2009-08-16 00:00:00,2009-08-22 00:00:00,24
2009-08-23 00:00:00,2009-08-29 00:00:00,22
2009-08-30 00:00:00,2009-09-05 00:00:00,23
2009-09-06 00:00:00,2009-09-12 00:00:00,24
2009-09-13 00:00:00,2009-09-19 00:00:00,24
2009-09-20 00:00:00,2009-09-26 00:00:00,19
2009-09-27 00:00:00,2009-10-03 00:00:00,19
2009-10-04 00:00:00,2009-10-10 00:00:00,22
2009-10-11 00:00:00,2009-10-17 00:00:00,23
2009-10-18 00:00:00,2009-10-24 00:00:00,19
2009-10-25 00:00:00,2009-10-31 00:00:00,21
2009-11-01 00:00:00,2009-11-07 00:00:00,20
2009-11-08 00:00:00,2009-11-14 00:00:00,19
2009-11-15 00:00:00,2009-11-21 00:00:00,23
2009-11-22 00:00:00,2009-11-28 00:00:00,40
2009-11-29 00:00:00,2009-12-05 00:00:00,39
2009-12-06 00:00:00,2009-12-12 00:00:00,30
2009-12-13 00:00:00,2009-12-19 00:00:00,27
2009-12-20 00:00:00,2009-12-26 00:00:00,23
2009-12-27 00:00:00,2010-01-02 00:00:00,17
2010-01-03 00:00:00,2010-01-09 00:00:00,22
2010-01-10 00:00:00,2010-01-16 00:00:00,22
2010-01-17 00:00:00,2010-01-23 00:00:00,20
2010-01-24 00:00:00,2010-01-30 00:00:00,16
2010-01-31 00:00:00,2010-02-06 00:00:00,27
2010-02-07 00:00:00,2010-02-13 00:00:00,25
2010-02-14 00:00:00,2010-02-20 00:00:00,26
2010-02-21 00:00:00,2010-02-27 00:00:00,22
2010-02-28 00:00:00,2010-03-06 00:00:00,25
2010-03-07 00:00:00,2010-03-13 00:00:00,24
2010-03-14 00:00:00,2010-03-20 00:00:00,25
2010-03-21 00:00:00,2010-03-27 00:00:00,27
2010-03-28 00:00:00,2010-04-03 00:00:00,20
2010-04-04 00:00:00,2010-04-10 00:00:00,20
2010-04-11 00:00:00,2010-04-17 00:00:00,25
2010-04-18 00:00:00,2010-04-24 00:00:00,30
2010-04-25 00:00:00,2010-05-01 00:00:00,30
2010-05-02 00:00:00,2010-05-08 00:00:00,30
2010-05-09 00:00:00,2010-05-15 00:00:00,32
2010-05-16 00:00:00,2010-05-22 00:00:00,29
2010-05-23 00:00:00,2010-05-29 00:00:00,24
2010-05-30 00:00:00,2010-06-05 00:00:00,21
2010-06-06 00:00:00,2010-06-12 00:00:00,21
2010-06-13 00:00:00,2010-06-19 00:00:00,22
2010-06-20 00:00:00,2010-06-26 00:00:00,23
2010-06-27 00:00:00,2010-07-03 00:00:00,24
2010-07-04 00:00:00,2010-07-10 00:00:00,23
2010-07-11 00:00:00,2010-07-17 00:00:00,23
2010-07-18 00:00:00,2010-07-24 00:00:00,28
2010-07-25 00:00:00,2010-07-31 00:00:00,22
2010-08-01 00:00:00,2010-08-07 00:00:00,21
2010-08-08 00:00:00,2010-08-14 00:00:00,21
2010-08-15 00:00:00,2010-08-21 00:00:00,20
2010-08-22 00:00:00,2010-08-28 00:00:00,20
2010-08-29 00:00:00,2010-09-04 00:00:00,24
2010-09-05 00:00:00,2010-09-11 00:00:00,22
2010-09-12 00:00:00,2010-09-18 00:00:00,22
2010-09-19 00:00:00,2010-09-25 00:00:00,20
2010-09-26 00:00:00,2010-10-02 00:00:00,20
2010-10-03 00:00:00,2010-10-09 00:00:00,20
2010-10-10 00:00:00,2010-10-16 00:00:00,22
2010-10-17 00:00:00,2010-10-23 00:00:00,20
2010-10-24 00:00:00,2010-10-30 00:00:00,18
2010-10-31 00:00:00,2010-11-06 00:00:00,12
2010-11-07 00:00:00,2010-11-13 00:00:00,19
2010-11-14 00:00:00,2010-11-20 00:00:00,19
2010-11-21 00:00:00,2010-11-27 00:00:00,22
2010-11-28 00:00:00,2010-12-04 00:00:00,21
2010-12-05 00:00:00,2010-12-11 00:00:00,20
2010-12-12 00:00:00,2010-12-18 00:00:00,18
2010-12-19 00:00:00,2010-12-25 00:00:00,20
2010-12-26 00:00:00,2011-01-01 00:00:00,14
2011-01-02 00:00:00,2011-01-08 00:00:00,13
2011-01-09 00:00:00,2011-01-15 00:00:00,16
2011-01-16 00:00:00,2011-01-22 00:00:00,17
2011-01-23 00:00:00,2011-01-29 00:00:00,15
2011-01-30 00:00:00,2011-02-05 00:00:00,18
2011-02-06 00:00:00,2011-02-12 00:00:00,16
2011-02-13 00:00:00,2011-02-19 00:00:00,15
2011-02-20 00:00:00,2011-02-26 00:00:00,13
2011-02-27 00:00:00,2011-03-05 00:00:00,15
2011-03-06 00:00:00,2011-03-12 00:00:00,15
2011-03-13 00:00:00,2011-03-19 00:00:00,16
2011-03-20 00:00:00,2011-03-26 00:00:00,15
2011-03-27 00:00:00,2011-04-02 00:00:00,13
2011-04-03 00:00:00,2011-04-09 00:00:00,14
2011-04-10 00:00:00,2011-04-16 00:00:00,13
2011-04-17 00:00:00,2011-04-23 00:00:00,15
2011-04-24 00:00:00,2011-04-30 00:00:00,14
2011-05-01 00:00:00,2011-05-07 00:00:00,15
2011-05-08 00:00:00,2011-05-14 00:00:00,13
2011-05-15 00:00:00,2011-05-21 00:00:00,18
2011-05-22 00:00:00,2011-05-28 00:00:00,14
2011-05-29 00:00:00,2011-06-04 00:00:00,14
2011-06-05 00:00:00,2011-06-11 00:00:00,11
2011-06-12 00:00:00,2011-06-18 00:00:00,14
2011-06-19 00:00:00,2011-06-25 00:00:00,15
2011-06-26 00:00:00,2011-07-02 00:00:00,14
2011-07-03 00:00:00,2011-07-09 00:00:00,15
2011-07-10 00:00:00,2011-07-16 00:00:00,17
2011-07-17 00:00:00,2011-07-23 00:00:00,22
2011-07-24 00:00:00,2011-07-30 00:00:00,34
2011-07-31 00:00:00,2011-08-06 00:00:00,54
2011-08-07 00:00:00,2011-08-13 00:00:00,43
2011-08-14 00:00:00,2011-08-20 00:00:00,22
2011-08-21 00:00:00,2011-08-27 00:00:00,21
2011-08-28 00:00:00,2011-09-03 00:00:00,19
2011-09-04 00:00:00,2011-09-10 00:00:00,21
2011-09-11 00:00:00,2011-09-17 00:00:00,22
2011-09-18 00:00:00,2011-09-24 00:00:00,23
2011-09-25 00:00:00,2011-10-01 00:00:00,23
2011-10-02 00:00:00,2011-10-08 00:00:00,18
2011-10-09 00:00:00,2011-10-15 00:00:00,19
2011-10-16 00:00:00,2011-10-22 00:00:00,20
2011-10-23 00:00:00,2011-10-29 00:00:00,16
2011-10-30 00:00:00,2011-11-05 00:00:00,20
2011-11-06 00:00:00,2011-11-12 00:00:00,21
2011-11-13 00:00:00,2011-11-19 00:00:00,19
2011-11-20 00:00:00,2011-11-26 00:00:00,24
2011-11-27 00:00:00,2011-12-03 00:00:00,20
2011-12-04 00:00:00,2011-12-10 00:00:00,17
2011-12-11 00:00:00,2011-12-17 00:00:00,16
2011-12-18 00:00:00,2011-12-24 00:00:00,17
2011-12-25 00:00:00,2011-12-31 00:00:00,13
2012-01-01 00:00:00,2012-01-07 00:00:00,13
2012-01-08 00:00:00,2012-01-14 00:00:00,17
2012-01-15 00:00:00,2012-01-21 00:00:00,15
2012-01-22 00:00:00,2012-01-28 00:00:00,14
2012-01-29 00:00:00,2012-02-04 00:00:00,16
2012-02-05 00:00:00,2012-02-11 00:00:00,16
2012-02-12 00:00:00,2012-02-18 00:00:00,14
2012-02-19 00:00:00,2012-02-25 00:00:00,14
2012-02-26 00:00:00,2012-03-03 00:00:00,13
2012-03-04 00:00:00,2012-03-10 00:00:00,13
2012-03-11 00:00:00,2012-03-17 00:00:00,14
2012-03-18 00:00:00,2012-03-24 00:00:00,14
2012-03-25 00:00:00,2012-03-31 00:00:00,15
2012-04-01 00:00:00,2012-04-07 00:00:00,12
2012-04-08 00:00:00,2012-04-14 00:00:00,11
2012-04-15 00:00:00,2012-04-21 00:00:00,13
2012-04-22 00:00:00,2012-04-28 00:00:00,12
2012-04-29 00:00:00,2012-05-05 00:00:00,12
2012-05-06 00:00:00,2012-05-12 00:00:00,13
2012-05-13 00:00:00,2012-05-19 00:00:00,12
2012-05-20 00:00:00,2012-05-26 00:00:00,13
2012-05-27 00:00:00,2012-06-02 00:00:00,12
2012-06-03 00:00:00,2012-06-09 00:00:00,11
2012-06-10 00:00:00,2012-06-16 00:00:00,12
2012-06-17 00:00:00,2012-06-23 00:00:00,14
2012-06-24 00:00:00,2012-06-30 00:00:00,12
2012-07-01 00:00:00,2012-07-07 00:00:00,14
2012-07-08 00:00:00,2012-07-14 00:00:00,11
2012-07-15 00:00:00,2012-07-21 00:00:00,12
2012-07-22 00:00:00,2012-07-28 00:00:00,12
2012-07-29 00:00:00,2012-08-04 00:00:00,11
2012-08-05 00:00:00,2012-08-11 00:00:00,11
2012-08-12 00:00:00,2012-08-18 00:00:00,12
2012-08-19 00:00:00,2012-08-25 00:00:00,13
2012-08-26 00:00:00,2012-09-01 00:00:00,13
2012-09-02 00:00:00,2012-09-08 00:00:00,13
2012-09-09 00:00:00,2012-09-15 00:00:00,14
2012-09-16 00:00:00,2012-09-22 00:00:00,11
2012-09-23 00:00:00,2012-09-29 00:00:00,14
2012-09-30 00:00:00,2012-10-06 00:00:00,12
2012-10-07 00:00:00,2012-10-13 00:00:00,13
2012-10-14 00:00:00,2012-10-20 00:00:00,11
2012-10-21 00:00:00,2012-10-27 00:00:00,10
2012-10-28 00:00:00,2012-11-03 00:00:00,11
2012-11-04 00:00:00,2012-11-10 00:00:00,12
2012-11-11 00:00:00,2012-11-17 00:00:00,9
2012-11-18 00:00:00,2012-11-24 00:00:00,10
2012-11-25 00:00:00,2012-12-01 00:00:00,11
2012-12-02 00:00:00,2012-12-08 00:00:00,11
2012-12-09 00:00:00,2012-12-15 00:00:00,11
2012-12-16 00:00:00,2012-12-22 00:00:00,12
2012-12-23 00:00:00,2012-12-29 00:00:00,9
2012-12-30 00:00:00,2013-01-05 00:00:00,11
2013-01-06 00:00:00,2013-01-12 00:00:00,12
2013-01-13 00:00:00,2013-01-19 00:00:00,12
2013-01-20 00:00:00,2013-01-26 00:00:00,11
2013-01-27 00:00:00,2013-02-02 00:00:00,12
2013-02-03 00:00:00,2013-02-09 00:00:00,12
2013-02-10 00:00:00,2013-02-16 00:00:00,12
2013-02-17 00:00:00,2013-02-23 00:00:00,11
2013-02-24 00:00:00,2013-03-02 00:00:00,12
2013-03-03 00:00:00,2013-03-09 00:00:00,14
2013-03-10 00:00:00,2013-03-16 00:00:00,12
2013-03-17 00:00:00,2013-03-23 00:00:00,13
2013-03-24 00:00:00,2013-03-30 00:00:00,10
2013-03-31 00:00:00,2013-04-06 00:00:00,11
2013-04-07 00:00:00,2013-04-13 00:00:00,11
2013-04-14 00:00:00,2013-04-20 00:00:00,10
2013-04-21 00:00:00,2013-04-27 00:00:00,10
2013-04-28 00:00:00,2013-05-04 00:00:00,10
2013-05-05 00:00:00,2013-05-11 00:00:00,10
2013-05-12 00:00:00,2013-05-18 00:00:00,11
2013-05-19 00:00:00,2013-05-25 00:00:00,10
2013-05-26 00:00:00,2013-06-01 00:00:00,9
2013-06-02 00:00:00,2013-06-08 00:00:00,9
2013-06-09 00:00:00,2013-06-15 00:00:00,11
2013-06-16 00:00:00,2013-06-22 00:00:00,10
2013-06-23 00:00:00,2013-06-29 00:00:00,11
2013-06-30 00:00:00,2013-07-06 00:00:00,10
2013-07-07 00:00:00,2013-07-13 00:00:00,11
2013-07-14 00:00:00,2013-07-20 00:00:00,13
2013-07-21 00:00:00,2013-07-27 00:00:00,11
